"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error"
"2022-05-20T05:02:39.288","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-93","-72.83892","406.46914676639994"
"2022-05-20T05:02:42.607","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-72.75659","3.08560842810001"
"2022-05-20T05:02:43.713","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-72.67811","2.8160531721000126"
"2022-05-20T05:02:47.025","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-72.69247","0.09457470089999992"
"2022-05-20T05:02:48.131","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-72.70616","0.08634194560000176"
"2022-05-20T05:02:49.238","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-72.71922","0.07883740839999602"
"2022-05-20T05:02:52.553","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-94","-73.663956","413.55468556993605"
"2022-05-20T05:02:53.658","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-94","-74.56559","377.69629204809996"
"2022-05-20T05:02:56.972","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-74.27483","39.373491528899926"
"2022-05-20T05:02:58.077","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-74.12997","9.7967122009"
"2022-05-20T05:02:59.186","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-74.080025","1.1664540006250135"
"2022-05-20T05:03:01.395","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-74.03234","1.06572587560001"
"2022-05-20T05:03:03.611","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-73.72208","45.186359526400075"
"2022-05-20T05:03:04.715","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-73.55798","12.659221680400004"
"2022-05-20T05:03:06.928","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-73.44529","5.9794431841"
"2022-05-20T05:03:08.033","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-73.33763","5.46451401690002"
"2022-05-20T05:03:09.137","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-73.23477","4.994196952899989"
"2022-05-20T05:03:12.453","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-97","-74.27997","516.1997632008997"
"2022-05-20T05:03:13.557","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-91","-75.01497","255.52118410089983"
"2022-05-20T05:03:17.978","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67","-74.66279","58.718350584100016"
"2022-05-20T05:03:19.083","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-74.50191","12.263373648099966"
"2022-05-20T05:03:21.292","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-94","-75.357994","347.5243877040358"
"2022-05-20T05:03:22.397","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-75.122826","26.243346226276035"
"2022-05-20T05:03:23.502","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-74.941925","15.538772705624982"
"2022-05-20T05:03:24.608","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-74.76901","14.205436380099957"
"2022-05-20T05:03:26.819","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-74.60372","12.986797838399967"
"2022-05-20T05:03:27.925","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-74.314186","39.86894484259608"
