,index,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
64,64,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.75383,-85.52058,-88.51128,-200,-200,-200,-200,-200,-86.31062,-66.25348,-58.39306,-64.03943,-79.052986,-200,-82.82324,-89.22052
65,65,S09,-200,-200,-200,-89.712595,-89.767296,-88.48057,-79.81036,-86.42895,-88.51128,-200,-200,-200,-200,-200,-85.93999,-66.032715,-58.61992,-64.914605,-79.5858,-200,-82.78612,-89.25549
66,66,S09,-200,-200,-200,-89.712595,-89.95547,-88.41428,-79.9546,-86.42895,-88.51128,-200,-200,-200,-200,-200,-85.72005,-66.07622,-58.688255,-64.914605,-76.04013,-200,-82.840706,-89.24405
67,67,S09,-200,-200,-200,-89.712595,-88.802765,-88.35109,-80.61224250000001,-85.723145,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.98306,-58.70216,-63.634743,-79.60424,-200,-83.686264,-88.399284
68,68,S09,-200,-200,-200,-89.712595,-88.802765,-88.335434,-79.82137,-86.05127,-88.51128,-200,-200,-200,-200,-200,-85.59912,-66.25348,-58.759945,-63.338303,-79.62183,-200,-82.75812,-89.18847
69,69,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.739456,-86.363785,-88.51128,-200,-200,-200,-200,-200,-85.43934,-66.25348,-58.903984,-63.055626,-79.549835,-200,-82.67941,-89.13547
70,70,S09,-200,-200,-200,-89.91563,-88.802765,-88.45407,-79.79601,-86.42895,-88.51128,-200,-200,-200,-200,-200,-84.93215,-66.11813,-58.61992,-64.914605,-79.43678,-200,-82.5597,-89.084915
71,71,S09,-200,-200,-200,-89.712595,-88.802765,-88.47834,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-84.66944,-66.20222,-58.95264,-62.74148,-76.04013,-200,-83.686264,-89.17005
72,72,S09,-200,-200,-200,-89.738,-88.802765,-88.501495,-80.07376,-86.52693,-88.51128,-200,-200,-200,-200,-200,-82.62161,-66.23779,-59.04341,-62.441784,-79.41744,-200,-83.686264,-88.399284
73,73,S09,-200,-200,-200,-89.61419,-88.802765,-88.61227,-80.29387,-86.72719,-88.51128,-200,-200,-200,-200,-200,-84.551346,-66.25348,-59.13006,-62.200203,-79.35474,-200,-82.534744,-89.38447
74,74,S09,-200,-200,-200,-89.5414,-88.802765,-87.93531,-80.45916,-86.91809,-88.51128,-200,-200,-200,-200,-200,-84.394394,-66.27173,-59.124306,-61.969643,-79.25067,-200,-82.555466,-89.234406
75,75,S09,-200,-200,-200,-89.712595,-88.802765,-88.85086,-80.57228,-86.42895,-88.51128,-200,-200,-200,-200,-200,-84.332825,-66.17074,-58.61992,-64.914605,-79.46037,-200,-82.53078,-89.13545
76,76,S09,-200,-200,-200,-89.712595,-88.802765,-88.85745,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-84.00931,-66.11877,-59.118813,-61.838135,-76.04013,-200,-82.50722,-88.90827
77,77,S09,-200,-200,-200,-89.56202,-88.802765,-88.73116,-80.61224250000001,-87.18933,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.98049,-59.06941,-61.71258,-79.44006,-200,-83.686264,-88.399284
78,78,S09,-200,-200,-200,-89.581665,-88.802765,-87.93531,-80.63575,-87.225426,-88.51128,-200,-200,-200,-200,-200,-83.744385,-66.25348,-59.02223,-61.636894,-79.37658,-200,-82.4404,-88.60296
79,79,S09,-200,-200,-200,-89.600395,-88.802765,-87.93531,-80.65192,-87.25986,-88.51128,-200,-200,-200,-200,-200,-83.44726,-66.02564,-59.021248,-61.564617,-79.359985,-200,-82.4209,-88.44387
80,80,S09,-200,-200,-200,-89.61825,-88.802765,-88.69888,-80.66735,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.42757,-65.98027,-58.61992,-64.914605,-79.34413,-200,-82.40228,-88.33605
81,81,S09,-200,-200,-200,-89.712595,-88.802765,-88.71217,-80.81494,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.62877,-65.93695,-59.020313,-64.914605,-76.04013,-200,-82.51709,-88.4535
82,82,S09,-200,-200,-200,-89.590675,-88.802765,-88.72486,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.895584,-59.063446,-61.40735,-79.196976,-200,-83.686264,-88.399284
83,83,S09,-200,-200,-200,-89.56438,-88.802765,-88.781044,-80.95584,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.645096,-66.25348,-59.104656,-61.213047,-79.10036,-200,-82.494255,-88.30135
